DATE_TIME,PLANT_ID,IRRADIATION(W/m²),WIND_SPEED(m/s),CLOUD_COVER(%),AMBIENT_TEMPERATURE(°C),THEORETICAL_MODULE_TEMPERATURE(°C),ACTUAL_MODULE_TEMPERATURE(°C),THEORETICAL_DC_POWER(kW),THEORETICAL_AC_POWER(kW),ACTUAL_DC_POWER(kW),ACTUAL_AC_POWER(kW),DC_EFFICIENCY,AC_EFFICIENCY,INVERTOR_EFFICIENCY,DAILY_YIELD(kWh),TOTAL_YIELD(kWh),THEORETICAL_DC_PER_KWP,THEORETICAL_AC_PER_KWP,DC_RESIDUAL(kW),AC_RESIDUAL(kW)
2020-06-05 03:15:00,4136001,0.0,5.423611111111111,39.0,23.14973,23.14973,22.048149533333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 03:30:00,4136001,0.0,5.402777777777779,39.0,23.204861724137924,23.204861724137924,22.07574655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 03:45:00,4136001,0.0,5.381944444444445,39.0,23.2978301,23.2978301,21.96477976666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 04:00:00,4136001,0.0,5.361111111111112,39.0,23.39066483333333,23.39066483333333,21.92678636666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 04:15:00,4136001,0.0,4.888888888888889,45.75,23.48055724137931,23.48055724137931,22.33335506896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 04:30:00,4136001,0.0,4.416666666666667,52.5,23.541043100000003,23.541043100000003,22.629008866666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 04:45:00,4136001,0.0,3.944444444444444,59.25,23.55039810344827,23.55039810344827,22.658952413793106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 05:00:00,4136001,0.0,3.4722222222222223,66.0,23.479852466666667,23.479852466666667,22.4354817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 05:15:00,4136001,0.0,3.4444444444444446,50.25,23.508968900000003,23.508968900000003,22.6392059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
2020-06-05 05:30:00,4136001,0.0,3.416666666666667,34.5,23.51972896551724,23.51972896551724,22.71437331034484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601614.996326382,0.0,0.0,0.0,0.0
